,Country Name,Country Code,Year,GDP per Capita (Constant 2015 US$)
0,Canada,CAN,2014,43643.24
1,United States,USA,2014,55817.56
2,Canada,CAN,2015,43594.19
3,United States,USA,2015,57040.21
4,Canada,CAN,2016,43551.34
5,United States,USA,2016,57658.67
6,Canada,CAN,2017,44339.39
7,United States,USA,2017,58703.14
8,Canada,CAN,2018,44907.34
9,United States,USA,2018,60127.21
10,Canada,CAN,2019,45100.29
11,United States,USA,2019,61400.55
12,Canada,CAN,2020,42366.13
13,United States,USA,2020,59493.15
14,Canada,CAN,2021,44359.62
15,United States,USA,2021,62996.29
16,Canada,CAN,2022,45227.14
17,United States,USA,2022,64342.12
18,Canada,CAN,2023,44468.75
19,United States,USA,2023,65875.18
