,Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP per Capita (Constant 2015 US$)
14399,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2014,43643.24
14615,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2014,55817.56
14665,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2015,43594.19
14881,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2015,57040.21
14931,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2016,43551.34
15147,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2016,57658.67
15197,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2017,44339.39
15413,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2017,58703.14
15463,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2018,44907.34
15679,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2018,60127.21
15729,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2019,45100.29
15945,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2019,61400.55
15995,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2020,42366.13
16211,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2020,59493.15
16261,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2021,44359.62
16477,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2021,62996.29
16527,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2022,45227.14
16743,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2022,64342.12
16793,Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2023,44468.75
17009,United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2023,65875.18
